FullTime,DateHour,hour,Code,Value,X,Y
2019-12-23T16:40:09.759782,,,c53,246,246,74
2019-12-23T16:40:09.759782,,,c54,74,246,74
2019-12-23T16:40:09.779658,,,c53,244,244,72
2019-12-23T16:40:09.779658,,,c54,72,244,72
2019-12-23T16:40:09.798763,,,c53,242,242,69
2019-12-23T16:40:09.798763,,,c54,69,242,69
2019-12-23T16:40:09.817602,,,c53,241,241,67
2019-12-23T16:40:09.817602,,,c54,67,241,67
2019-12-23T16:40:09.836759,,,c53,239,239,66
2019-12-23T16:40:09.836759,,,c54,66,239,66
2019-12-23T16:40:09.855889,,,c53,237,237,64
2019-12-23T16:40:09.855889,,,c54,64,237,64
2019-12-23T16:40:09.874842,,,c53,235,235,62
2019-12-23T16:40:09.874842,,,c54,62,235,62
2019-12-23T16:40:09.893983,,,c53,233,233,61
2019-12-23T16:40:09.893983,,,c54,61,233,61
2019-12-23T16:40:09.912992,,,c53,231,231,59
2019-12-23T16:40:09.912992,,,c54,59,231,59
2019-12-23T16:40:09.931501,,,c53,229,229,58
2019-12-23T16:40:09.931501,,,c54,58,229,58
2019-12-23T16:40:09.950650,,,c53,226,226,57
2019-12-23T16:40:09.950650,,,c54,57,226,57
2019-12-23T16:40:09.969779,,,c53,224,224,55
2019-12-23T16:40:09.969779,,,c54,55,224,55
2019-12-23T16:40:09.989077,,,c53,221,221,54
2019-12-23T16:40:09.989077,,,c54,54,221,54
2019-12-23T16:40:10.008182,,,c53,219,219,53
2019-12-23T16:40:10.008182,,,c54,53,219,53
2019-12-23T16:40:10.027318,,,c53,217,217,52
2019-12-23T16:40:10.027318,,,c54,52,217,52
2019-12-23T16:40:10.046324,,,c53,214,214,51
2019-12-23T16:40:10.046324,,,c54,51,214,51
2019-12-23T16:40:10.065372,,,c53,212,212,49
2019-12-23T16:40:10.065372,,,c54,49,212,49
2019-12-23T16:40:10.084416,,,c53,210,210,48
2019-12-23T16:40:10.084416,,,c54,48,210,48
2019-12-23T16:40:10.103489,,,c53,208,208,46
2019-12-23T16:40:10.103489,,,c54,46,208,46
2019-12-23T16:40:10.122411,,,c53,206,206,45
2019-12-23T16:40:10.122411,,,c54,45,206,45
2019-12-23T16:40:10.141195,,,c53,203,203,44
2019-12-23T16:40:10.141195,,,c54,44,203,44
2019-12-23T16:40:10.160282,,,c53,201,201,43
2019-12-23T16:40:10.160282,,,c54,43,201,43
2019-12-23T16:40:10.178831,,,c53,199,199,42
2019-12-23T16:40:10.178831,,,c54,42,199,42
2019-12-23T16:40:10.198650,,,c53,197,197,40
2019-12-23T16:40:10.198650,,,c54,40,197,40
2019-12-23T16:40:10.217721,,,c53,194,40,194
2019-12-23T16:40:10.236731,,,c53,192,192,39
2019-12-23T16:40:10.236731,,,c54,39,192,39
2019-12-23T16:40:10.255810,,,c53,190,190,38
2019-12-23T16:40:10.255810,,,c54,38,190,38
2019-12-23T16:40:10.274552,,,c53,188,188,37
2019-12-23T16:40:10.274552,,,c54,37,188,37
2019-12-23T16:40:10.293894,,,c53,186,186,36
2019-12-23T16:40:10.293894,,,c54,36,186,36
2019-12-23T16:40:10.311874,,,c53,184,184,35
2019-12-23T16:40:10.311874,,,c54,35,184,35
2019-12-23T16:40:10.331377,,,c53,182,35,182
2019-12-23T16:40:10.350868,,,c53,179,179,33
2019-12-23T16:40:10.350868,,,c54,33,179,33
2019-12-23T16:40:10.369797,,,c53,176,33,176
2019-12-23T16:40:10.388916,,,c53,174,174,32
